iter	Passed	Remaining
0	2	1429
1	5	1401
2	8	1455
3	12	1522
4	15	1512
5	18	1502
6	21	1547
7	25	1582
8	29	1597
9	32	1582
10	35	1574
11	39	1591
12	43	1629
13	46	1613
14	49	1588
15	51	1560
16	53	1529
17	56	1511
18	59	1518
19	62	1507
20	65	1489
21	67	1476
22	70	1465
23	73	1456
24	76	1461
25	79	1449
26	82	1445
27	85	1440
28	88	1431
29	90	1424
30	93	1416
31	96	1410
32	99	1402
33	101	1391
34	103	1380
35	106	1371
36	109	1366
37	111	1358
38	114	1348
39	116	1340
40	118	1331
41	121	1324
42	123	1317
43	126	1309
44	128	1302
45	131	1295
46	133	1288
47	136	1280
48	138	1274
49	140	1267
50	143	1260
51	145	1255
52	148	1248
53	151	1247
54	154	1247
55	157	1245
56	159	1242
57	162	1239
58	165	1235
59	168	1232
60	170	1230
61	173	1228
62	176	1227
63	180	1229
64	183	1227
65	186	1224
66	188	1220
67	191	1216
68	194	1212
69	196	1209
70	199	1205
71	201	1200
72	204	1196
73	207	1192
74	209	1189
75	212	1184
76	214	1180
77	217	1175
78	219	1171
79	222	1169
80	225	1166
81	228	1163
82	230	1158
83	233	1154
84	235	1150
85	238	1146
86	241	1145
87	243	1142
88	246	1138
89	248	1133
90	251	1130
91	254	1126
92	256	1123
93	259	1119
94	261	1114
95	263	1110
96	266	1106
97	268	1103
98	271	1099
99	274	1096
100	276	1093
101	279	1090
102	282	1087
103	285	1085
104	287	1081
105	289	1077
106	292	1073
107	294	1070
108	297	1067
109	300	1064
110	303	1062
111	305	1059
112	308	1057
113	311	1054
114	313	1050
115	316	1046
116	318	1043
117	321	1039
118	323	1035
119	325	1032
120	328	1028
121	330	1024
122	333	1021
123	335	1017
124	337	1013
125	340	1010
126	342	1006
127	345	1003
128	347	1000
129	350	996
130	352	993
131	355	990
132	357	986
133	360	983
134	362	979
135	365	976
136	367	973
137	369	970
138	372	967
139	375	964
140	377	962
141	380	959
142	383	956
143	385	954
144	388	951
145	391	948
146	393	945
147	396	943
148	399	940
149	401	937
150	404	934
151	406	931
152	409	929
153	412	926
154	414	922
155	417	919
156	419	916
157	421	913
158	424	909
159	426	906
160	429	903
161	431	899
162	433	896
163	436	893
164	438	890
165	441	887
166	443	884
167	445	881
168	448	878
169	451	875
170	453	872
171	455	869
172	458	866
173	460	863
174	463	860
175	465	856
176	467	854
177	470	850
178	472	847
179	475	845
180	478	843
181	480	840
182	483	837
183	486	835
184	488	832
185	491	829
186	494	827
187	496	824
188	499	821
189	501	818
190	504	815
191	506	812
192	509	810
193	511	807
194	513	803
195	516	800
196	518	797
197	520	794
198	523	791
199	525	788
200	528	785
201	530	782
202	533	779
203	535	776
204	537	773
205	540	771
206	542	768
207	545	765
208	547	762
209	549	759
210	552	756
211	554	753
212	557	750
213	559	747
214	561	744
215	564	741
216	565	738
217	568	735
218	570	732
219	573	729
220	575	727
221	578	724
222	581	722
223	583	719
224	585	716
225	588	713
226	590	710
227	592	707
228	595	704
229	598	702
230	600	699
231	602	696
232	605	693
233	607	690
234	609	687
235	612	684
236	614	681
237	616	678
238	619	675
239	621	672
240	623	669
241	625	666
242	627	663
243	630	661
244	632	658
245	635	655
246	637	652
247	639	650
248	642	647
249	644	644
250	646	641
251	649	638
252	651	636
253	653	633
254	655	630
255	658	627
256	660	624
257	662	621
258	665	619
259	667	616
260	670	613
261	672	610
262	675	608
263	677	605
264	680	603
265	682	600
266	684	597
267	686	594
268	688	591
269	691	588
270	693	585
271	695	583
272	697	580
273	700	577
274	702	575
275	705	572
276	707	569
277	709	566
278	711	563
279	714	561
280	716	558
281	719	555
282	721	553
283	723	550
284	726	547
285	728	545
286	730	542
287	733	539
288	735	537
289	738	534
290	740	531
291	742	529
292	745	526
293	747	524
294	750	521
295	753	518
296	755	516
297	757	513
298	760	511
299	762	508
300	765	505
301	767	503
302	770	500
303	772	498
304	774	495
